GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0400000US49,49,United States - Utah,Utah,2763885,979709,84896.88,2727.26,82169.62,33.6,11.9
0100000US,,United States,1600000US4943660,4943660,United States - Utah - Layton city,Layton city,67311,22356,22.17,0.17,22.00,3059.5,1016.1
0100000US,,United States,1600000US4950150,4950150,United States - Utah - Millcreek CDP,Millcreek CDP,62139,26203,13.65,0.00,13.65,4551.6,1919.3
0100000US,,United States,1600000US4955980,4955980,United States - Utah - Ogden city,Ogden city,82825,32482,27.10,0.00,27.09,3057.1,1198.9
0100000US,,United States,1600000US4957300,4957300,United States - Utah - Orem city,Orem city,88328,26970,18.29,0.00,18.29,4828.4,1474.3
0100000US,,United States,1600000US4962470,4962470,United States - Utah - Provo city,Provo city,112488,33212,44.17,2.50,41.67,2699.3,797.0
0100000US,,United States,1600000US4965330,4965330,United States - Utah - St. George city,St. George city,72897,32089,70.91,0.51,70.40,1035.5,455.8
0100000US,,United States,1600000US4967000,4967000,United States - Utah - Salt Lake City city,Salt Lake City city,186440,80724,111.73,0.62,111.11,1678.0,726.5
0100000US,,United States,1600000US4967440,4967440,United States - Utah - Sandy city,Sandy city,87461,29501,22.88,0.01,22.87,3824.7,1290.1
0100000US,,United States,1600000US4970850,4970850,United States - Utah - South Jordan city,South Jordan city,50418,14943,22.13,0.08,22.05,2286.2,677.6
0100000US,,United States,1600000US4975360,4975360,United States - Utah - Taylorsville city,Taylorsville city,58652,20671,10.85,0.00,10.85,5406.8,1905.6
0100000US,,United States,1600000US4982950,4982950,United States - Utah - West Jordan city,West Jordan city,103712,31366,32.46,0.00,32.46,3195.4,966.4
0100000US,,United States,1600000US4983470,4983470,United States - Utah - West Valley City city,West Valley City city,129480,38978,35.61,0.05,35.56,3641.5,1096.2
0100000US,,United States,0400000US50,50,United States - Vermont,Vermont,625741,322539,9616.36,399.71,9216.66,67.9,35.0
0100000US,,United States,0400000US51,51,United States - Virginia,Virginia,8001024,3364939,42774.93,3284.84,39490.09,202.6,85.2
