GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,1600000US0604730,0604730,United States - California - Bear Valley CDP (Mariposa County),Bear Valley CDP (Mariposa County),$(X),$(X)
0100000US,,United States,1600000US0604772,0604772,United States - California - Beckwourth CDP,Beckwourth CDP,$(X),$(X)
0100000US,,United States,1600000US0604856,0604856,United States - California - Belden CDP,Belden CDP,$-,$**
0100000US,,United States,1600000US0605346,0605346,United States - California - Benton CDP,Benton CDP,$(X),$(X)
0100000US,,United States,1600000US0606475,0606475,United States - California - Big Bend CDP,Big Bend CDP,$(X),$(X)
0100000US,,United States,1600000US0606994,0606994,United States - California - Blairsden CDP,Blairsden CDP,$(X),$(X)
0100000US,,United States,1600000US0607246,0607246,United States - California - Bodega CDP,Bodega CDP,$(X),$(X)
0100000US,,United States,1600000US0607694,0607694,United States - California - Boulevard CDP,Boulevard CDP,$(X),$(X)
0100000US,,United States,1600000US0607750,0607750,United States - California - Bowles CDP,Bowles CDP,$(X),$(X)
0100000US,,United States,1600000US0608716,0608716,United States - California - Buck Meadows CDP,Buck Meadows CDP,$-,$**
0100000US,,United States,1600000US0608744,0608744,United States - California - Bucks Lake CDP,Bucks Lake CDP,$-,$**
0100000US,,United States,1600000US0609318,0609318,United States - California - Butte Meadows CDP,Butte Meadows CDP,$-,$**
0100000US,,United States,1600000US0609324,0609324,United States - California - Butte Valley CDP,Butte Valley CDP,$(X),$(X)
0100000US,,United States,1600000US0609822,0609822,United States - California - California Hot Springs CDP,California Hot Springs CDP,$(X),$(X)
0100000US,,United States,1600000US0609834,0609834,United States - California - California Pines CDP,California Pines CDP,$(X),$(X)
0100000US,,United States,1600000US0610004,0610004,United States - California - Calpine CDP,Calpine CDP,$(X),$(X)
0100000US,,United States,1600000US0610494,0610494,United States - California - Camp Nelson CDP,Camp Nelson CDP,$(X),$(X)
0100000US,,United States,1600000US0610914,0610914,United States - California - Canyondam CDP,Canyondam CDP,$-,$**
0100000US,,United States,1600000US0611166,0611166,United States - California - Caribou CDP,Caribou CDP,$-,$**
0100000US,,United States,1600000US0611376,0611376,United States - California - Carmet CDP,Carmet CDP,$-,$**
0100000US,,United States,1600000US0611481,0611481,United States - California - Carrick CDP,Carrick CDP,$-,$**
0100000US,,United States,1600000US0611782,0611782,United States - California - Cassel CDP,Cassel CDP,$(X),$(X)
0100000US,,United States,1600000US0612314,0612314,United States - California - Cedar Slope CDP,Cedar Slope CDP,$-,$**
0100000US,,United States,1600000US0612412,0612412,United States - California - Centerville CDP,Centerville CDP,$(X),$(X)
